tconst	originalTitle	directors	runtimeMinutes
tt0021261	Playboy of Paris	nm0003490	79
tt0021272	The Princess and the Plumber	nm0090007,nm0466099	72
tt0021280	One Heavenly Night	nm0280463	82
tt0021282	Rain or Shine	nm0001008	88
tt0021287	Reaching for the Moon	nm0332539	91
tt0021312	Romance sentimentale	nm0017893,nm0001178	20
tt0021323	A Royal Romance	nm0448915	66
tt0021327	Safety in Numbers	nm0006276	80
tt0021349	Second Honeymoon	nm0005847	76
tt0021362	She's My Weakness	nm0114266	71
tt0021377	Sin Takes a Holiday	nm0825596	81
tt0021396	The Social Lion	nm0840042	72
tt0021408	Soup to Nuts	nm0831577	70
tt0021413	Spring Is Here	nm0227020	69
tt0021441	Sweethearts and Wives	nm0046082	77
tt0021442	Sweethearts on Parade	nm0624714	65
tt0021486	Top Speed	nm0503777	80
tt0021492	True to the Navy	nm0878338	71
tt0021516	Ver e Amar!	nm0208524	78
tt0021532	A Warm Corner	nm0767701	104
tt0021544	What a Man	nm0188701	72
tt0021545	What a Widow!	nm0245385,nm0614225,nm0786827	88
tt0021549	Whoopee!	nm0293260	93
tt0021568	Young Man of Manhattan	nm0068419	79
tt0021619	Arm wie eine Kirchenmaus	nm0652650	101
tt0021632	Bachelor Apartment	nm0792514	76
tt0021633	The Bachelor Father	nm0502752	90
tt0021647	Beauty and the Boss	nm0215877	66
tt0021672	Bless the Ladies	nm0250034	17
tt0021749	City Lights	nm0000122	87
tt0021759	A Connecticut Yankee	nm0124877	95
tt0021768	Cracked Nuts	nm0166836	65
tt0021775	Daddy Long Legs	nm0763453	80
tt0021780	Just a Gigolo	nm0176699	66
tt0021793	Delicious	nm0124877	106
tt0021798	Devotion	nm0590701	81
tt0021807	Don't Bet on Women	nm0397678	70
tt0021840	Everything's Rosie	nm0115669	67
tt0021841	Ex-Bad Boy	nm0602009	76
tt0021859	50 Million Frenchmen	nm0045800	74
tt0021879	Flying High	nm0718469	80
tt0021911	Girls Demand Excitement	nm0271344	69
tt0021917	God's Gift to Women	nm0002031	72
tt0021922	Good Sport	nm0533247	67
tt0021938	Half Holiday	nm0821244	21
tt0021952	Her Majesty, Love	nm0226189	75
tt0021965	Hobson's Choice	nm0072872	65
tt0021973	The Hot Heiress	nm0046082	79
tt0021986	I Like Your Nerve	nm0568915	70
tt0022048	Shukujo to hige	nm0654868	75
tt0022074	The Smiling Lieutenant	nm0523932	93
tt0022085	Local Boy Makes Good	nm0503777	68
tt0022086	Lonely Wives	nm0533074	85
